compound,name,BP_C,BP_K,SMILES,MW,Wiener,Z1,Z2
1,Methane,-162.2,110.95,C,16.043,0,0.0,0.0
2,Ethane,-88.6,184.55,CC,30.07,1,2.0,1.0
3,propane,-42.2,230.95,CCC,44.1,4,6.0,4.0
4,butane,-0.1,273.05,CCCC,58.12,10,10.0,8.0
5,2-methylpropane,-11.2,261.95,CC(C)C,58.12,9,12.0,9.0
6,pentane,36.1,309.25,CCCCC,72.15,20,14.0,12.0
7,2-methylbutane,27.0,300.15,CC(C)CC,72.15,18,16.0,14.0
8,"2,2-dimethylpropane",9.5,282.65,CC(C)(C)C,72.15,16,20.0,16.0
9,hexane,68.8,341.95,CCCCCC,86.18,35,18.0,16.0
10,2-methylpentane,60.9,334.05,CC(C)CCC,86.18,32,20.0,18.0
11,3-methylpentane,63.3,336.45,CC(CC)CC,86.18,31,20.0,19.0
12,"2,2-dimethylbutane",49.8,322.95,CC(C)(CC)C,86.18,28,24.0,22.0
13,"2,3-dimethylbutane",58.1,331.25,CC(C)C(C)C,86.18,29,22.0,21.0
14,heptane,98.5,371.65,CCCCCCC,100.2,56,22.0,20.0
15,3-ethylpentane,93.5,366.65,C(C)C(CC)CC,100.2,48,24.0,24.0
16,"2,2-dimethylpentane",79.2,352.35,CC(C)(CCC)C,100.2,46,28.0,26.0
17,"2,3-dimethylpentane",89.8,362.95,CC(C)C(CC)C,100.2,46,26.0,26.0
18,"2,4-dimethylpentane",80.6,353.75,CC(C)CC(C)C,100.2,48,26.0,24.0
19,2-methylhexane,90.1,363.25,CC(C)CCCC,100.205,52,24.0,22.0
20,3-methylhexane,91.8,364.95,CC(CC)CCC,100.2,50,24.0,23.0
21,octane,125.6,398.75,CCCCCCCC,114.23,84,26.0,24.0
22,3-methylheptane,118.9,392.05,CC(CC)CCCC,114.232,76,28.0,27.0
23,"2,2,3,3-tetramethylbutane",106.5,379.65,CC(C)(C(C)(C)C)C,114.23,58,38.0,40.0
24,"2,3,3-trimethylpentane",114.7,387.85,CC(C)C(CC)(C)C,114.23,62,34.0,36.0
25,"2,3,4-trimethylpentane",113.7,386.85,CC(C)C(C(C)C)C,114.23,65,32.0,33.0
26,"2,2,4-trimethylpentane",99.3,372.45,CC(C)(CC(C)C)C,114.23,66,34.0,32.0
27,nonane,150.7,423.85,CCCCCCCCC,128.25,120,30.0,28.0
28,2-methyloctane,143.0,416.15,CC(C)CCCCCC,128.259,114,32.0,30.0
29,decane,174.2,447.35,CCCCCCCCCC,142.28,165,34.0,32.0
30,2-methylnonane,166.9,440.05,CC(C)CCCCCCC,142.28,158,36.0,34.0
